,Datetime,Text,tweet_tokens,tweet_tokens_fdist
0,2020-12-30,kebangun karena mimpi tesla gw dibobol orang dirampok isinya alhamdulillah cuma mimpi aja teslanya gak kenapakenapa masih di pabrik,"['kebangun', 'karena', 'mimpi', 'tesla', 'gw', 'dibobol', 'orang', 'dirampok', 'isinya', 'alhamdulillah', 'cuma', 'mimpi', 'aja', 'teslanya', 'gak', 'kenapakenapa', 'masih', 'di', 'pabrik']",<FreqDist with 18 samples and 19 outcomes>
1,2020-12-30,bangun pabrik batere undang tesla semua merk mobil lngsung nimbrung kerrn memang si bpk ini main caturnya,"['bangun', 'pabrik', 'batere', 'undang', 'tesla', 'semua', 'merk', 'mobil', 'lngsung', 'nimbrung', 'kerrn', 'memang', 'si', 'bpk', 'ini', 'main', 'caturnya']",<FreqDist with 17 samples and 17 outcomes>
2,2020-12-30,antam mau kerjasama dg tesla pabrik baterai mobil fck antam kadung dilepas,"['antam', 'mau', 'kerjasama', 'dg', 'tesla', 'pabrik', 'baterai', 'mobil', 'fck', 'antam', 'kadung', 'dilepas']",<FreqDist with 11 samples and 12 outcomes>
3,2020-12-30,garagara kadal yang sedang hibernasi tesla gagal membangun pabrik di jerman,"['garagara', 'kadal', 'yang', 'sedang', 'hibernasi', 'tesla', 'gagal', 'membangun', 'pabrik', 'di', 'jerman']",<FreqDist with 11 samples and 11 outcomes>
4,2020-12-30,gokil bukan tesla tak lama lagi ri bakal punya pabrik baterai mobil listrik terbesar rp ,"['gokil', 'bukan', 'tesla', 'tak', 'lama', 'lagi', 'ri', 'bakal', 'punya', 'pabrik', 'baterai', 'mobil', 'listrik', 'terbesar', 'rp']",<FreqDist with 15 samples and 15 outcomes>
5,2020-12-30,lihat info apa yang saya bagikan gokil ri janjikan tax holiday pabrik tesla sampai tahun,"['lihat', 'info', 'apa', 'yang', 'saya', 'bagikan', 'gokil', 'ri', 'janjikan', 'tax', 'holiday', 'pabrik', 'tesla', 'sampai', 'tahun']",<FreqDist with 15 samples and 15 outcomes>
6,2020-12-30,gokil ri janjikan tax holiday pabrik tesla sampai tahun tentu tergantung dr investasi mereka,"['gokil', 'ri', 'janjikan', 'tax', 'holiday', 'pabrik', 'tesla', 'sampai', 'tahun', 'tentu', 'tergantung', 'dr', 'investasi', 'mereka']",<FreqDist with 14 samples and 14 outcomes>
7,2020-12-30,pdhal di tesla bikin pabrik kudu nebang poon dulu mengusik habitat ekosistem  hutan,"['pdhal', 'di', 'tesla', 'bikin', 'pabrik', 'kudu', 'nebang', 'poon', 'dulu', 'mengusik', 'habitat', 'ekosistem', 'hutan']",<FreqDist with 13 samples and 13 outcomes>
8,2020-12-30,za za kagak pindah ke tesla aja to haa haa bentar lg bikin pabrik di batang jateng kalik aja bisa kegeret pindah lt,"['za', 'za', 'kagak', 'pindah', 'ke', 'tesla', 'aja', 'to', 'haa', 'haa', 'bentar', 'lg', 'bikin', 'pabrik', 'di', 'batang', 'jateng', 'kalik', 'aja', 'bisa', 'kegeret', 'pindah', 'lt']",<FreqDist with 19 samples and 23 outcomes>
9,2020-12-30,bukannya indo dulu punya listrik smk ya skrang tesla mau buat pabrik di indo,"['bukannya', 'indo', 'dulu', 'punya', 'listrik', 'smk', 'ya', 'skrang', 'tesla', 'mau', 'buat', 'pabrik', 'di', 'indo']",<FreqDist with 13 samples and 14 outcomes>
